jp,en
あなたには進む力がある。,You have the strength to move forward.
あなたの価値は揺るがない。,Your worth does not waver.
あなたの可能性は無限だ。,Your potential is limitless.
あなたの今日には意味がある。,Your today has meaning.
あなたの歩幅で進めばいい。,Move at your own pace.
できることから始めよう。,Start with what you can do.
やさしさは最強の才能。,Kindness is the greatest talent.
やめない人が最後に笑う。,Those who don’t quit smile in the end.
一滴がやがて海になる。,A single drop becomes an ocean.
一歩ずつで十分だ。,One step at a time is enough.
遠くを見る前に足元を整える。,"Before looking far ahead, steady your footing."
遠回りも、あなたの道だ。,Detours are part of your path.
継続は最大の武器。,Consistency is your greatest weapon.
継続は静かな革命だ。,Consistency is a quiet revolution.
今できる最善が、いちばんの近道。,Doing your best now is the shortest path.
今日の積み重ねが自信になる。,Today’s accumulation becomes confidence.
今日の積み重ねが未来をつくる。,Today’s efforts build your future.
今日の選択が明日を形づくる。,Today’s choices shape tomorrow.
今日の努力は明日の自信になる。,Today’s effort becomes tomorrow’s confidence.
今日もよくやっている。,You are doing well today.
今日も挑戦できたことが誇り。,Be proud that you challenged yourself today.
今日を越えれば明日がある。,"If you get through today, tomorrow awaits."
今日を整えれば、明日が整う。,"When today is in order, tomorrow follows."
今日を積めば未来は変わる。,Build today and the future will change.
今日を丁寧に生きる。,Live today with care.
困難は鍛錬の場。,Hardship is a place of training.
昨日の自分が今日を支えている。,Yesterday’s self supports today.
昨日より半歩でいい。,Half a step beyond yesterday is enough.
始めた人だけが進める。,Only those who begin can move forward.
自分の歩幅で大丈夫。,Your own pace is enough.
自分らしさが最良の武器。,Being yourself is your greatest strength.
自分を信じることから始まる。,It begins with believing in yourself.
自分を信じる習慣を持つ。,Make believing in yourself a habit.
失敗しても価値は減らない。,Failure does not diminish your worth.
失敗は経験という名前の贈り物。,Failure is a gift called experience.
準備は裏切らない味方だ。,Preparation is a faithful ally.
小さな一歩が、景色を変える。,A small step can change the scenery.
小さな改善が大きな差になる。,Small improvements make a big difference.
小さな休息も、前進の準備。,A small rest is preparation for progress.
小さな光が闇を和らげる。,A small light softens the darkness.
小さな工夫が大きな成果を生む。,Small ideas create big results.
小さな進歩が大きな自信になる。,Small progress builds great confidence.
小さな成功を祝おう。,Celebrate small victories.
小さな挑戦が人生を彩る。,Small challenges color your life.
焦らず、しかし止まらず。,"Do not rush, but do not stop."
焦らなくていい、芽はちゃんと伸びている。,No need to rush; the sprout is growing steadily.
焦りは情熱の裏返し。,Impatience is passion in disguise.
笑う余裕が力になる。,The space to smile becomes strength.
笑顔が空気を変える。,A smile changes the atmosphere.
笑顔は最短距離の架け橋。,A smile is the shortest bridge between hearts.
深呼吸ひとつで、気持ちは整う。,One deep breath can steady your mind.
人はいつでもやり直せる。,You can always start again.
誠実さは時間とともに輝く。,Integrity shines brighter with time.
誠実な一日が未来を守る。,An honest day protects your future.
誠実な一歩が信頼を築く。,A sincere step builds trust.
誠実な努力は信頼を生む。,Sincere effort builds trust.
静かな覚悟が道を開く。,Quiet resolve opens the way.
静かな決意は、いちばん強い。,Quiet determination is the strongest of all.
静かな時間が心を磨く。,Quiet moments refine the heart.
静かな情熱を持ち続ける。,Keep your quiet passion alive.
静かな朝が一日を整える。,A calm morning sets the tone for the day.
静かな努力はやがて花開く。,Quiet effort eventually blossoms.
静かな夜が明日を育てる。,A quiet night nurtures tomorrow.
静けさの中に答えがある。,Answers are found in stillness.
積み重ねは裏切らない。,What you build step by step never betrays you.
続けた時間は裏切らない。,Time spent persisting never betrays you.
続けた分だけ、信頼が積み上がる。,"The more you persist, the more trust you build."
続けることが最大の才能。,Perseverance is the greatest talent.
続ける人にだけ見える景色がある。,There is a view only those who persist can see.
続ける力が夢を育てる。,The power to continue nurtures dreams.
挑む心が未来を動かす。,A courageous heart moves the future.
挑む勇気が明日を変える。,The courage to try changes tomorrow.
挑戦する限り可能性は消えない。,"As long as you challenge yourself, possibility remains."
挑戦する心を忘れない。,Never forget your spirit to challenge.
挑戦は自分との対話だ。,Challenge is a conversation with yourself.
挑戦は自分への約束。,Challenge is a promise to yourself.
挑戦は未来への投資だ。,Challenge is an investment in your future.
挑戦は未来への扉。,Challenge is a door to the future.
努力はあなたの味方だ。,Effort is on your side.
努力はあなたを裏切らない。,Effort will not betray you.
努力は見えない根になる。,Effort becomes unseen roots.
努力は必ず形になる。,Effort always takes form.
努力は未来への種まき。,Effort plants seeds for the future.
努力は裏切らない、形を変えて返ってくる。,Effort never betrays you; it returns in another form.
不安は真剣さの証。,Anxiety is proof that you care.
変化は進化の合図。,Change is a sign of growth.
未来は今日の延長線上にある。,The future lies on the extension of today.
未来は選択でできている。,The future is made of choices.
夢は行動で近づく。,Dreams draw closer through action.
夢は静かに育つ。,Dreams grow quietly.
迷いは成長の途中駅だ。,Doubt is a stop along the journey of growth.
迷いは選択の前触れ。,Doubt is the prelude to choice.
迷いもあなたの一部だ。,Doubt is part of who you are.
迷ったら一歩進む。,"When unsure, take one step forward."
迷ったら誠実な方を選ぶ。,"When in doubt, choose integrity."
優しい言葉は、心の灯りになる。,Gentle words become a light in the heart.
優しさは巡り巡って戻る。,Kindness always finds its way back.
優しさは力だ。,Kindness is strength.
立ち止まっても進んでいる。,"Even when you pause, you are still moving."
立ち止まるのも前進の一部。,Pausing is also part of moving forward.
